cv_id,job_id,score
7168,3,0.23673578098730402
8646,5,0.23667464636746
9691,81,0.2355739804898573
6894,3,0.23499377096458368
136,5,0.23495521716355797
7861,13,0.23471848685109442
5310,81,0.23408739132345177
4990,81,0.23403212745645408
4611,5,0.23362598083721609
9155,5,0.23358092934087243
8881,13,0.23351303129144604
4309,3,0.2334353528926762
9853,81,0.23312106522275391
807,81,0.23303300852296788
7535,12,0.23232388725658773
5635,81,0.2321678004862813
1107,5,0.23206161646901208
2313,5,0.23186798307799802
5424,81,0.23178176771007356
2114,5,0.23177062688485336
6658,5,0.23104034514073768
6814,81,0.23014227064273712
9727,12,0.22982519671623486
7791,5,0.2294793381663233
7274,81,0.22806577714264858
8516,13,0.22771935059435847
3642,81,0.2272517777273075
4741,81,0.22722564074873436
6993,76,0.22689507912552992
7764,81,0.2268790092156288
3626,81,0.22648037725750209
2553,13,0.22522755742257977
1387,81,0.22509036559724027
440,81,0.22474744327054716
7858,2,0.2243061756585755
9003,5,0.22409839745967283
9480,76,0.22396501942232644
885,3,0.22354650717918245
2707,49,0.22335756604547047
3082,5,0.22298272594220028
8353,3,0.222855975964725
6042,3,0.22281495796783693
5203,5,0.22278738748325613
3855,49,0.22271643921405024
9326,3,0.22253063236174414
7799,81,0.22215488244906603
2109,76,0.22201461680775936
4926,49,0.22170733535116915
6971,49,0.2213675973271092
50,3,0.2213193006997836
7973,3,0.22088820580741317
6660,81,0.22088581047664124
9282,3,0.2208581339525471
1696,27,0.22079027662706105
3410,3,0.22077473866109315
4653,81,0.2207673044392167
3275,3,0.22069803226624485
3923,47,0.2206685932618385
9903,76,0.22048207259856845
4539,3,0.22041524873615714
6021,13,0.2200329633161661
6195,13,0.21972427963824212
6092,3,0.21941704195429046
6745,3,0.21902183996334945
9753,3,0.21892982092870553
3934,3,0.2188989874456217
5905,81,0.21869111755276244
6936,2,0.2186819001070103
3457,3,0.2186435689336684
2865,13,0.2186208628190372
649,3,0.2183044444016687
898,81,0.21789191000241842
4472,3,0.21783297356219772
9748,3,0.2174994790200297
3196,3,0.21734205065853113
1527,13,0.21648669409440593
2567,81,0.21628507353230145
8958,3,0.21625293185754144
8507,13,0.2162422179796061
6869,13,0.2162422179796061
212,3,0.21614426134552223
5965,81,0.21556402190274732
1840,13,0.21553526955731836
6256,3,0.2154654774415288
9633,3,0.21535008082640278
7374,3,0.21508592127659265
7946,13,0.2149198137035001
5070,3,0.21481620858221123
1849,13,0.2147250073027933
8704,2,0.2147184269115471
2332,3,0.21442471765111554
1013,12,0.21431308430094115
5416,13,0.21425940812075747
6816,3,0.2142428833545775
4719,3,0.21422810482697174
8087,49,0.2141873732530568
2991,81,0.21392873644877322
6439,13,0.2138299819934661
7120,2,0.21350905511887946
5154,47,0.21336674067854416
1121,13,0.2132925047791041
73,49,0.21322028295119919
9531,76,0.21317647166824308
8428,2,0.2131232447432236
4564,81,0.21307263711856997
5976,81,0.21276492046785625
4753,12,0.2126081572529709
492,81,0.2122995591327559
969,27,0.21221543255526687
4867,3,0.21220436106506693
1749,49,0.21192533617941164
4817,81,0.21172865930797213
1762,3,0.2114552052620715
599,3,0.21140018364426016
9179,27,0.21110223603906778
8262,12,0.21108226884367884
7167,81,0.21090072011827354
1744,13,0.21061656004145368
8669,13,0.21059632028924113
103,81,0.21032780776463805
5464,2,0.21009680590580126
9192,81,0.21002692913032783
7930,12,0.2098498029245205
1064,13,0.20974365269009596
7868,13,0.20969383200864578
5334,13,0.20954202282137235
8207,2,0.20953989209516752
9608,13,0.2094859290128243
5434,3,0.2094134138854125
5352,2,0.2093010029436135
5208,3,0.20929505016963246
3992,3,0.20921982794403354
6694,27,0.20914983296630413
2792,13,0.20883049810676732
8553,2,0.20875069032580346
5113,3,0.20847015409428565
9251,3,0.20826922114408514
9263,2,0.20806452028774555
3867,2,0.20765342505896195
5478,2,0.20744473976183886
3601,47,0.20720876462526666
3518,2,0.20696927105995466
9045,81,0.20692642721876373
6790,13,0.20674086102630626
2864,2,0.20667042101484062
85,12,0.20655032122813805
9143,13,0.20637595065824638
7070,12,0.2061126586145574
5012,13,0.2060727889174832
4858,13,0.20600556938108605
8370,13,0.20537762554653716
5232,196,0.205155282811182
1295,196,0.20508935262100275
3567,13,0.2047618273168956
8205,31,0.2047273563102681
27,13,0.2046577011093357
774,76,0.20447140473060227
6883,81,0.20441347210269922
3264,49,0.20435713695975782
7777,12,0.20417752303659284
9065,2,0.2041565890409953
7596,2,0.20415196812818248
1494,2,0.20412645821528078
5400,13,0.20382322737547315
7834,76,0.20365930623771855
7046,13,0.20359175192851167
5188,76,0.20351174239590544
5805,13,0.2034958602842696
4469,49,0.2034003822598459
6031,12,0.20324852108470914
2135,76,0.20321238433370242
7444,5,0.2030912395462251
8285,81,0.20305784749390476
6787,13,0.20273688536757092
7667,49,0.20211042582591987
8256,49,0.2019052037089699
4973,13,0.2016745628682602
9101,81,0.2016717658752779
9246,2,0.2016632669965324
3869,81,0.20121515045549018
4147,2,0.20095822962181448
1983,13,0.20092163253007816
9588,13,0.20090108319984584
8442,76,0.20084371550895153
9130,2,0.20081609856544955
6168,5,0.20064102338206885
6056,13,0.2005945484045042
8171,81,0.20058048922011656
7775,13,0.20057168617912732
7100,2,0.20043419388400469
6206,81,0.20035026695285882
5140,12,0.20034349330267323
2859,13,0.20020714648595778
4375,49,0.20006334633104467
6943,2,0.20002360396798305
913,2,0.1999752022040424
5594,12,0.19994550042340029
5836,31,0.19986623804111275
2298,5,0.19977080654339063
4389,2,0.19950101424668515
3134,13,0.1993668575711836
5526,2,0.199041371212074
6451,49,0.19903560863942377
7177,2,0.1989944172407006
7897,13,0.19890739496717155
7746,5,0.19889501229415257
3384,2,0.19870054039287574
9841,2,0.19862499950548088
5986,13,0.19840312194706208
2744,2,0.19831206983128366
4456,2,0.19824478882709962
7241,76,0.19807369420159568
4304,81,0.19798083588108897
2117,5,0.19792754317349748
6540,27,0.19782908997897036
4242,72,0.19775770336262613
4134,196,0.19766453969447456
9474,29,0.19758807941070836
3814,5,0.19736022212065715
4005,12,0.1970715746876918
9042,5,0.19700467019119988
6520,76,0.19697109582833672
203,13,0.1969661878987774
3974,27,0.19672150321029577
3653,13,0.1964482065552248
962,5,0.1963591472505914
3188,81,0.19626666678712917
989,47,0.19625894916014863
5397,5,0.19610264402418
6299,13,0.19594589689510186
5624,13,0.1958858903668185
908,47,0.19575233174896753
9900,2,0.19571348196072602
1882,13,0.19542589760204962
9115,196,0.19533140111998565
5990,5,0.19529111967411225
191,53,0.19516452378127006
4268,2,0.19504372288432648
3945,107,0.19502668405108084
8312,53,0.19501020082920717
6291,196,0.19490573704018574
6598,13,0.19486997231255254
2381,2,0.19471800154921334
7795,5,0.19446264488514328
1368,5,0.19442612879802323
3412,53,0.1943197423824715
5169,2,0.19422187278333444
7874,5,0.19401724112799928
2211,13,0.193901803131032
3941,13,0.1938336536312021
1745,29,0.19297444254372892
3310,5,0.19280855104102812
416,13,0.19273986691412284
3942,13,0.19273192064993458
9333,12,0.19271325879885315
4729,81,0.19268179796620888
2100,13,0.19262690928796997
9536,2,0.19246828854814244
8978,13,0.19246365208925548
2415,2,0.1924624826400491
5567,53,0.19222124807257146
9249,53,0.1921496394380939
2892,27,0.19212081825110372
1117,13,0.19185040994872585
2432,13,0.19180625049632205
9121,76,0.19179387642198648
6729,5,0.1917342260904959
7593,27,0.19170722874098473
557,13,0.1917071833267792
6875,13,0.1917041414811573
4665,13,0.19150911158024048
5517,196,0.19108462916415936
3352,76,0.19089759974185166
2666,196,0.19072128602044214
2269,12,0.1905439555687106
7394,107,0.1903884873310975
7158,53,0.19037383892049342
4155,12,0.19037241464359375
8604,196,0.1903285619058972
2872,72,0.19030999729294584
6407,12,0.1902712373341891
9739,53,0.19026840140647897
7056,12,0.19025775212391183
2741,107,0.19004280713957283
5134,27,0.18996415987507045
8643,13,0.18994251106845098
2022,5,0.1898127203323399
6351,5,0.18966081446492614
6388,5,0.18965310809515884
7847,2,0.1894514328801256
9362,53,0.18937500629037796
2867,5,0.18936641540631202
6821,12,0.18934689945552213
1173,12,0.1893254970847483
9968,47,0.18932429952597468
2910,12,0.18930859017589274
2580,196,0.18911786909990455
2184,76,0.18883549941101319
4589,13,0.1887164428991903
2758,107,0.18860608762293832
4196,13,0.18847157227558906
5235,2,0.18846858352595303
7483,0,0.1884215236753157
7281,53,0.18816644662609516
328,68,0.1878347311412094
6324,5,0.18779550967770947
6529,107,0.187739742455193
843,2,0.18767224950031505
8407,27,0.18760828489555334
6089,13,0.1875417789733365
9872,107,0.18730623988724174
5669,2,0.18729101892358127
1599,49,0.1872556090996999
3398,81,0.187228584641353
4880,2,0.18718070526939495
7717,13,0.18717815999930662
9157,76,0.18711282142686086
4840,27,0.187063465515925
8253,2,0.18704730640106185
210,81,0.18700794317597605
4156,13,0.18699108698675415
2312,13,0.18696786377312635
7309,37,0.18683899532284048
7193,5,0.18682530383806262
2711,13,0.18680096741875687
4740,107,0.18666900744860535
8614,5,0.18656527889443988
613,13,0.18642965075177653
7441,5,0.18642190535315042
9405,107,0.18624481949360225
1880,5,0.18618753702883814
8942,76,0.18610079918016964
3877,5,0.18607960425626557
2713,76,0.1860789850127032
8387,13,0.18599291455355835
7013,76,0.18592838233402692
9622,107,0.18591247993770982
2157,13,0.1858866524180367
6939,13,0.18582952297438993
5774,13,0.18576419021811735
6349,76,0.18555972105896432
5394,5,0.1853030037944222
1261,81,0.18519764596135238
6057,5,0.1851631269184804
7403,29,0.1851502807490111
5969,2,0.18507384241525401
5073,2,0.18500294866093678
2938,3,0.18495368251918878
2177,76,0.18493987176872523
8537,13,0.18489919320025136
6861,29,0.18488140105715803
7604,72,0.18482574020122355
5921,12,0.18477324971745374
2803,13,0.18470808610534262
5210,5,0.18467753347543653
4393,107,0.18463856336598053
5486,76,0.18463265697287967
5909,5,0.18461071547369215
3563,5,0.1845837838455615
2053,37,0.18456482396401783
1938,13,0.18450476935799828
8964,12,0.18449420512020615
5527,49,0.18443916124137216
8376,2,0.18438159369260396
5884,5,0.18418769732179144
9773,2,0.18414862398888124
2460,53,0.18399809970138345
6682,81,0.18397498111354663
9300,5,0.18387688955755566
